"EA-Type";"EA-Package";"EA-Name";"EA-Parent";"EA-Domain";"EA-Range";"label-nl";"ap-definition-nl";"ap-usageNote-nl";"ap-codelist";"external term";"namespace";"localname";"type";"domain";"range";"parent";"min card";"max card"
"attribute";"OSLO-Organisatie";"hoedanigheid";;"GeregistreerdeOrganisatie";;"TODO";"TODO";;;"false";"http://data.vlaanderen.be/ns/";"organisatiehoedanigheid";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"http://www.w3.org/ns/regorg#RegisteredOrganization";;;0;1
"attribute";"OSLO-Organisatie";"organisatieActiviteit";;"GeregistreerdeOrganisatie";"OrganisatieActiviteit";"Organisatieactiviteit";"Type activiteit die door de Geregistreerde Activiteit wordt uitgeoefend.";;;"true";"http://www.w3.org/ns/regorg#";"orgActivity";"http://www.w3.org/2002/07/owl#ObjectProperty";"http://www.w3.org/ns/regorg#RegisteredOrganization";"http://data.vlaanderen.be/ns/organisatieOrganisatieActiviteit";;0;1
"attribute";"OSLO-Organisatie";"organisatieRegistratie";;"GeregistreerdeOrganisatie";"Identificator";"Organisatieregistratie";"Identificator dat de organisatie verkreeg bij registratie.";"In de KBO is dit het ondernemingsnummer.";;"true";"http://www.w3.org/ns/regorg#";"registration";"http://www.w3.org/2002/07/owl#ObjectProperty";"http://www.w3.org/ns/regorg#RegisteredOrganization";"http://fixme.com#Identificator";;1;1
"attribute";"OSLO-Organisatie";"organisatieSoort";;"GeregistreerdeOrganisatie";"OrganisatieSoort";"Organisatiesoort";"Geeft aan of de rechtspersoonlijkheid van de Geregistreerde Organisatie deze is van een natuurlijk persoon of van een rechtspersoon. ";"NOTE";;"false";"http://data.vlaanderen.be/ns/";"organisatieorganisatieSoort";"http://www.w3.org/2002/07/owl#ObjectProperty";"http://www.w3.org/ns/regorg#RegisteredOrganization";"http://www.w3.org/2004/02/skos/core#Concept";;0;1
"attribute";"OSLO-Organisatie";"organisatieStatus";;"GeregistreerdeOrganisatie";"OrganisatieStatus";"Organisatiestatus";"Status van de Geregistreerde Organisatie.";"Stemt in de KBO overeen met rechtstoestand, bvb Normale toestand, Gerechtelijk akkoord, Opening faillissement etc.";;"true";"http://www.w3.org/ns/regorg#";"orgStatus";"http://www.w3.org/2002/07/owl#ObjectProperty";"http://www.w3.org/ns/regorg#RegisteredOrganization";"http://www.w3.org/2004/02/skos/core#Concept";;0;1
"attribute";"OSLO-Organisatie";"organisatieType";;"GeregistreerdeOrganisatie";"OrganisatieType";"Organisatietype";"Juridisch statuut van de Geregistreerde Organisatie.";"Stemt in de KBO overeen met rechtsvorm, bvb NV, VZW, Stad/Gemeente, OCMW etc.";;"true";"http://www.w3.org/ns/regorg#";"orgType";"http://www.w3.org/2002/07/owl#ObjectProperty";"http://www.w3.org/ns/regorg#RegisteredOrganization";"http://www.w3.org/2004/02/skos/core#Concept";;0;1
"attribute";"OSLO-Organisatie";"wettelijkeNaam";;"GeregistreerdeOrganisatie";"String";"Wettelijke Naam";"Wettelijk geregistreerde naam vd organisatie.";"Evt in verschillende talen.";;"true";"http://www.w3.org/ns/regorg#";"legalName";"http://www.w3.org/2002/07/owl#DatatypeProperty";"http://www.w3.org/ns/regorg#RegisteredOrganization";"http://www.w3.org/2001/XMLSchema#string";;1;1
"attribute";"OSLO-Persoon";"adellijke titel";;"Persoon";;"TODO";"TODO";;;"true";"http://data.vlaanderen.be/ns/persoon#adellijke ";"titel";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"http://data.vlaanderen.be/ns/persoon#Persoon";;;1;1
"attribute";"OSLO-Persoon";"alternatieveNaam";;"Persoon";;"TODO";"TODO";;;"true";"http://data.vlaanderen.be/ns/persoon#";"alternatieveNaam";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"http://data.vlaanderen.be/ns/persoon#Persoon";;;1;1
"attribute";"OSLO-Persoon";"burgerlijkeStaat";;"Persoon";"BurgerlijkeStaatInfo";"TODO";"TODO";;;"true";"http://data.vlaanderen.be/ns/persoon#";"burgerlijkeStaat";"http://www.w3.org/2002/07/owl#ObjectProperty";"http://data.vlaanderen.be/ns/persoon#Persoon";"http://data.vlaanderen.be/ns/persoon#BurgerlijkeStaatInfo";;1;1
